Day,Count
2019-01-01,102
2019-01-02,109
2019-01-03,126
2019-01-04,403
2019-01-05,253
2019-01-06,166
2019-01-07,265
2019-01-08,206
2019-01-09,180
2019-01-10,184
2019-01-11,401
2019-01-12,252
2019-01-13,167
2019-01-14,162
2019-01-15,207
2019-01-16,142
2019-01-17,133
2019-01-18,178
2019-01-19,156
2019-01-20,152
2019-01-21,272
2019-01-22,188
2019-01-23,268
2019-01-24,194
2019-01-25,451
2019-01-26,161
2019-01-27,212
2019-01-28,162
2019-01-29,152
2019-01-30,208
2019-01-31,180
2019-02-01,142
2019-02-02,348
2019-02-03,115
2019-02-04,155
2019-02-05,125
2019-02-06,172
2019-02-07,242
2019-02-08,252
2019-02-09,220
2019-02-10,153
2019-02-11,139
2019-02-12,207
2019-02-13,169
2019-02-14,325
2019-02-15,455
2019-02-16,178
2019-02-17,127
2019-02-18,217
2019-02-19,219
2019-02-20,177
2019-02-21,272
2019-02-22,218
2019-02-23,239
2019-02-24,350
2019-02-25,205
2019-02-26,176
2019-02-27,211
2019-02-28,99
2019-03-01,204
2019-03-02,126
2019-03-03,172
2019-03-04,186
2019-03-05,173
2019-03-06,88
2019-03-07,78
2019-03-08,278
2019-03-09,157
2019-03-10,87
2019-03-11,95
2019-03-12,48
2019-03-13,201
2019-03-14,185
2019-03-15,99
2019-03-16,387
2019-03-17,122
2019-03-18,122
2019-03-19,121
2019-03-20,195
2019-03-21,73
2019-03-22,119
2019-03-23,220
2019-03-24,140
2019-03-25,163
2019-03-26,61
2019-03-27,120
2019-03-28,110
2019-03-29,156
2019-03-30,71
2019-03-31,58
2019-04-01,110
2019-04-02,385
2019-04-03,130
2019-04-04,142
2019-04-05,142
2019-04-06,56
2019-04-07,66
2019-04-08,269
2019-04-09,120
2019-04-10,336
2019-04-11,214
2019-04-12,129
2019-04-13,45
2019-04-14,103
2019-04-15,155
2019-04-16,157
2019-04-17,70
2019-04-18,67
2019-04-19,97
2019-04-20,106
2019-04-21,273
2019-04-22,77
2019-04-23,111
2019-04-24,196
2019-04-25,236
2019-04-26,205
2019-04-27,94
2019-04-28,188
2019-04-29,182
2019-04-30,204
2019-05-01,108
2019-05-02,433
2019-05-03,124
2019-05-04,110
2019-05-05,133
2019-05-06,209
2019-05-07,139
2019-05-08,86
2019-05-09,153
2019-05-10,269
2019-05-11,329
2019-05-12,242
2019-05-13,254
2019-05-14,206
2019-05-15,178
2019-05-16,260
2019-05-17,211
2019-05-18,144
2019-05-19,103
2019-05-20,300
2019-05-21,205
2019-05-22,194
2019-05-23,210
2019-05-24,433
2019-05-25,320
2019-05-26,327
2019-05-27,330
2019-05-28,120
2019-05-29,161
2019-05-30,155
2019-05-31,227
2019-06-01,173
2019-06-02,512
2019-06-03,161
2019-06-04,156
2019-06-05,175
2019-06-06,199
2019-06-07,204
2019-06-08,178
2019-06-09,210
2019-06-10,258
2019-06-11,287
2019-06-12,216
2019-06-13,245
2019-06-14,214
2019-06-15,211
2019-06-16,144
2019-06-17,296
2019-06-18,258
2019-06-19,217
2019-06-20,323
2019-06-21,191
2019-06-22,199
2019-06-23,197
2019-06-24,289
2019-06-25,187
2019-06-26,830
2019-06-27,163
2019-06-28,536
2019-06-29,327
2019-06-30,664
2019-07-01,311
2019-07-02,204
2019-07-03,169
2019-07-04,318
2019-07-05,135
2019-07-06,146
2019-07-07,157
2019-07-08,204
2019-07-09,199
2019-07-10,169
2019-07-11,187
2019-07-12,181
2019-07-13,163
2019-07-14,206
2019-07-15,252
2019-07-16,151
2019-07-17,205
2019-07-18,297
2019-07-19,201
2019-07-20,173
2019-07-21,165
2019-07-22,201
2019-07-23,473
2019-07-24,223
2019-07-25,215
2019-07-26,222
2019-07-27,229
2019-07-28,217
2019-07-29,189
2019-07-30,208
2019-07-31,196
2019-08-01,205
2019-08-02,222
2019-08-03,162
2019-08-04,146
2019-08-05,120
2019-08-06,133
2019-08-07,177
2019-08-08,182
2019-08-09,202
2019-08-10,228
2019-08-11,177
2019-08-12,163
2019-08-13,403
2019-08-14,250
2019-08-15,223
2019-08-16,172
2019-08-17,147
2019-08-18,171
2019-08-19,259
2019-08-20,139
2019-08-21,159
2019-08-22,164
2019-08-23,224
2019-08-24,179
2019-08-25,158
2019-08-26,436
2019-08-27,423
2019-08-28,303
2019-08-29,242
2019-08-30,212
2019-08-31,202
2019-09-01,163
2019-09-02,122
2019-09-03,193
2019-09-04,145
2019-09-05,211
2019-09-06,246
2019-09-07,139
2019-09-08,131
2019-09-09,215
2019-09-10,268
2019-09-11,237
2019-09-12,316
2019-09-13,1157
2019-09-14,194
2019-09-15,135
2019-09-16,356
2019-09-17,247
2019-09-18,323
2019-09-19,150
2019-09-20,212
2019-09-21,352
2019-09-22,152
2019-09-23,154
2019-09-24,218
2019-09-25,155
2019-09-26,132
2019-09-27,185
2019-09-28,242
2019-09-29,235
2019-09-30,433
2019-10-01,247
2019-10-02,208
2019-10-03,179
2019-10-04,165
2019-10-05,181
2019-10-06,181
2019-10-07,140
2019-10-08,433
2019-10-09,1095
2019-10-10,187
2019-10-11,147
2019-10-12,134
2019-10-13,141
2019-10-14,139
2019-10-15,193
2019-10-16,182
2019-10-17,121
2019-10-18,232
2019-10-19,222
2019-10-20,140
2019-10-21,374
2019-10-22,209
2019-10-23,184
2019-10-24,233
2019-10-25,141
2019-10-26,161
2019-10-27,144
2019-10-28,347
2019-10-29,169
2019-10-30,114
2019-10-31,172
2019-11-01,237
2019-11-02,203
2019-11-03,194
2019-11-04,475
2019-11-05,279
2019-11-06,193
2019-11-07,126
2019-11-08,183
2019-11-09,132
2019-11-10,98
2019-11-11,175
2019-11-12,121
2019-11-13,193
2019-11-14,219
2019-11-15,171
2019-11-16,154
2019-11-17,177
2019-11-18,465
2019-11-19,811
2019-11-20,210
2019-11-21,262
2019-11-22,228
2019-11-23,225
