Day,Count
2021-01-01,762
2021-01-02,975
2021-01-03,1048
2021-01-04,1752
2021-01-05,1540
2021-01-06,1475
2021-01-07,1582
2021-01-08,1603
2021-01-09,798
2021-01-10,1125
2021-01-11,1660
2021-01-12,1461
2021-01-13,1667
2021-01-14,1378
2021-01-15,1577
2021-01-16,817
2021-01-17,906
2021-01-18,1439
2021-01-19,1639
2021-01-20,1794
2021-01-21,1594
2021-01-22,1700
2021-01-23,1013
2021-01-24,1121
2021-01-25,1785
2021-01-26,1569
2021-01-27,2112
2021-01-28,1526
2021-01-29,1499
2021-01-30,732
2021-01-31,869
2021-02-01,1378
2021-02-02,1278
2021-02-03,1853
2021-02-04,1626
2021-02-05,1538
2021-02-06,974
2021-02-07,861
2021-02-08,1532
2021-02-09,1894
2021-02-10,1565
2021-02-11,1665
2021-02-12,1583
2021-02-13,938
2021-02-14,1105
2021-02-15,1297
2021-02-16,1565
2021-02-17,1386
2021-02-18,1295
2021-02-19,1363
2021-02-20,1024
2021-02-21,1069
2021-02-22,1397
2021-02-23,1650
2021-02-24,1794
2021-02-25,1685
2021-02-26,1333
2021-02-27,1023
2021-02-28,982
2021-03-01,1984
2021-03-02,1498
2021-03-03,1862
2021-03-04,1849
2021-03-05,1924
2021-03-06,1572
2021-03-07,1289
2021-03-08,1803
2021-03-09,1719
2021-03-10,1952
2021-03-11,1905
2021-03-12,1529
2021-03-13,1259
2021-03-14,1292
2021-03-15,6743
2021-03-16,2293
2021-03-17,2199
2021-03-18,2058
2021-03-19,2266
2021-03-20,3171
2021-03-21,1524
2021-03-22,1999
2021-03-23,2071
2021-03-24,1719
2021-03-25,2379
2021-03-26,1997
2021-03-27,1568
2021-03-28,1121
2021-03-29,1555
2021-03-30,1669
2021-03-31,1737
2021-04-01,1823
2021-04-02,1826
2021-04-03,1474
2021-04-04,1120
2021-04-05,1391
2021-04-06,1653
2021-04-07,2391
2021-04-08,2007
2021-04-09,2291
2021-04-10,1170
2021-04-11,1214
2021-04-12,1622
2021-04-13,1752
2021-04-14,1720
2021-04-15,1725
2021-04-16,1812
2021-04-17,1392
2021-04-18,1862
2021-04-19,2798
2021-04-20,2056
2021-04-21,1722
2021-04-22,1953
2021-04-23,1797
2021-04-24,1135
2021-04-25,1274
2021-04-26,1592
