Day,Count
2019-01-01,4
2019-01-02,6
2019-01-03,5
2019-01-04,7
2019-01-05,0
2019-01-06,1
2019-01-07,13
2019-01-08,24
2019-01-09,27
2019-01-10,7
2019-01-11,7
2019-01-12,1
2019-01-13,0
2019-01-14,10
2019-01-15,19
2019-01-16,11
2019-01-17,8
2019-01-18,4
2019-01-19,2
2019-01-20,1
2019-01-21,9
2019-01-22,8
2019-01-23,9
2019-01-24,9
2019-01-25,9
2019-01-26,1
2019-01-27,2
2019-01-28,6
2019-01-29,14
2019-01-30,2
2019-01-31,6
2019-02-01,6
2019-02-02,3
2019-02-03,0
2019-02-04,18
2019-02-05,15
2019-02-06,17
2019-02-07,11
2019-02-08,8
2019-02-09,4
2019-02-10,3
2019-02-11,9
2019-02-12,4
2019-02-13,13
2019-02-14,15
2019-02-15,11
2019-02-16,6
2019-02-17,3
2019-02-18,5
2019-02-19,13
2019-02-20,3
2019-02-21,14
2019-02-22,10
2019-02-23,3
2019-02-24,6
2019-02-25,5
2019-02-26,13
2019-02-27,19
2019-02-28,34
2019-03-01,20
2019-03-02,2
2019-03-03,2
2019-03-04,20
2019-03-05,9
2019-03-06,16
2019-03-07,19
2019-03-08,16
2019-03-09,0
2019-03-10,2
2019-03-11,15
2019-03-12,3
2019-03-13,11
2019-03-14,13
2019-03-15,24
2019-03-16,3
2019-03-17,1
2019-03-18,18
2019-03-19,19
2019-03-20,19
2019-03-21,12
2019-03-22,10
2019-03-23,2
2019-03-24,5
2019-03-25,20
2019-03-26,11
2019-03-27,7
2019-03-28,12
2019-03-29,6
2019-03-30,0
2019-03-31,0
2019-04-01,2
2019-04-02,19
2019-04-03,13
2019-04-04,12
2019-04-05,10
2019-04-06,2
2019-04-07,5
2019-04-08,6
2019-04-09,12
2019-04-10,15
2019-04-11,12
2019-04-12,11
2019-04-13,3
2019-04-14,0
2019-04-15,12
2019-04-16,2
2019-04-17,8
2019-04-18,10
2019-04-19,8
2019-04-20,2
2019-04-21,1
2019-04-22,15
2019-04-23,27
2019-04-24,44
2019-04-25,20
2019-04-26,14
2019-04-27,2
2019-04-28,2
2019-04-29,10
2019-04-30,17
2019-05-01,7
2019-05-02,9
2019-05-03,7
2019-05-04,2
2019-05-05,1
2019-05-06,6
2019-05-07,6
2019-05-08,12
2019-05-09,8
2019-05-10,12
2019-05-11,3
2019-05-12,10
2019-05-13,12
2019-05-14,6
2019-05-15,10
2019-05-16,10
2019-05-17,13
2019-05-18,29
2019-05-19,9
2019-05-20,20
2019-05-21,15
2019-05-22,29
2019-05-23,24
2019-05-24,23
2019-05-25,13
2019-05-26,0
2019-05-27,4
