Dates,2019,2020,2021,Months
1,351.0,632.0,864.0,January
2,376.0,680.0,838.0,February
3,445.0,638.0,943.0,March
4,561.0,883.5,929.5,April
5,476.0,1008.0,906.0,May
6,515.5,976.5,990.5,June
7,545.0,912.0,804.0,July
8,485.0,854.0,788.0,August
9,525.5,864.5,833.0,September
10,553.0,1007.0,815.0,October
11,542.0,983.0,867.0,November
